ObjectID,GlobalID,Species,How Many,ParentGlobalID,CreationDate,Creator,EditDate,Editor,obstime,x,y
11,74e686f0-2864-4f5b-913c-9a9371b9ece7,Mallard,2,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:24:57 PM,-116.296923796354,43.6488284758049
12,1339dbc1-1dc1-4d4a-9302-878dd5e4f0d1,Mallard,7,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:26:48 PM,-116.296359467185,43.6487675967881
13,21b7a4e7-12e7-426e-b964-4865ae6bf612,Mallard,11,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:27:17 PM,-116.295278747202,43.6487136661682
14,c9d573a8-6382-4eef-a7fe-e7dc1bd51605,Mallard,11,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:27:40 PM,-116.298180461508,43.6488643006276
15,f0fc852a-375b-410c-8b0e-094ed2c46fa1,Mallard,8,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:30:10 PM,-116.295867807123,43.6496311800328
16,75bc8f98-1ef3-47e3-bfd8-56e3ab965060,Mallard,10,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:30:30 PM,-116.296075477418,43.649887506949
17,133078a2-00c3-4dc2-abd5-d12e44f6ac8a,Common_Goldeneye,3,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:32:40 PM,-116.295954029585,43.649703118513
18,0096f2a7-fbd4-47d6-ab9c-d2095f413638,Common_Goldeneye,4,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:34:25 PM,-116.29698608379,43.649955608609
19,10218db9-32e3-47c0-939a-ce7b8a494c80,Common_Goldeneye,3,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:42:09 PM,-116.296598946332,43.6502281581597
20,f2f97a8b-5c1d-4c27-81cd-f200133b6f82,Common_Goldeneye,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:44:20 PM,-116.298379982746,43.6522519331779
